Country,Average_IQ,Continent,Literacy_Percentage,Cumulative_Nobel_Prize,HDI,Average_School_Education,GNI,Population
Zambia,68.43,Africa,85.0,0,0.565,7.2,3218.0,20569738
Ethiopia,68.42,Africa,49.0,1,0.498,3.2,2361.0,126527060
Djibouti,68.41,Africa,68.0,0,0.509,4.1,5025.0,1136455
Cameroon,67.76,Africa,75.0,0,0.576,6.2,3621.0,28647293
Nigeria,67.76,Africa,60.0,1,0.535,7.2,4790.0,223804632
Somalia,67.67,Africa,38.0,0,0.0,0.0,0.0,18143379
Morocco,67.03,Africa,72.0,1,0.683,5.9,7303.0,37840044
Namibia,66.19,Africa,91.0,0,0.615,7.2,8634.0,2604172
Dominica,66.03,Central America,94.0,0,0.72,8.1,11488.0,73.161
Sao Tome and Principe,65.22,Africa,92.0,0,0.618,6.2,4021.0,231.856
Congo,64.92,Africa,77.0,0,0.571,6.2,2889.0,6106869
Saint Vincent and the Grenadines,63.42,Central America,96.0,0,0.751,10.8,11961.0,103.699
Gabon,62.97,Africa,83.0,0,0.706,9.4,13367.0,2436567
Congo Republic,62.97,Africa,79.0,0,0.479,7.0,1076.0,102262809
Yemen,62.86,Asia,70.0,1,0.455,3.2,1314.0,34449825
Belize,62.55,Central America,83.0,0,0.683,8.8,6309.0,410.825
Central African Republic,62.55,Africa,37.0,0,0.404,4.3,966.0,5742316
Honduras,62.16,Central America,88.0,0,0.621,7.1,5298.0,10593798
Togo,59.83,Africa,67.0,0,0.539,5.0,2167.0,9053799
Mali,59.76,Africa,33.0,0,0.428,2.3,2133.0,23293699
Mauritania,59.76,Africa,52.0,0,0.556,4.9,5075.0,4862989
South Sudan,58.61,Africa,32.0,0,0.385,5.7,768.0,11088796
Ghana,58.16,Africa,77.0,1,0.632,8.3,5745.0,34121985
Costa do Marfim,58.16,Africa,43.0,0,0.0,0.0,0.0,28873034
Guinea,53.48,Africa,30.0,0,0.465,2.2,2481.0,14190612
Nicaragua,52.69,Central America,82.0,0,0.667,7.1,5625.0,7046311
Gambia,52.68,Africa,57.99999999999999,0,0.5,4.6,2172.0,2773168
Guatemala,47.72,Central America,79.0,2,0.627,5.7,8723.0,18092026
Liberia,45.07,Africa,48.0,2,0.481,5.1,1289.0,5418377
Sierra Leone,45.07,Africa,48.0,0,0.477,4.6,1622.0,8791092
Nepal,42.99,Asia,65.0,0,0.602,5.1,3877.0,30896590
